epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,27.6713,0.85193,1.03534,1.19428,0.75456,0.48333,0.54031,0.3106,1.65926,1.73966,1.39123,3.00475e-05,3.00475e-05,3.00475e-05
52,28.0832,0.73413,1.53029,1.1147,0.75456,0.48333,0.54031,0.3106,1.65926,1.73966,1.39123,3.00476e-05,3.00476e-05,3.00476e-05
53,28.4893,0.84064,0.92188,1.17232,0.75456,0.48333,0.54031,0.3106,1.65926,1.73966,1.39123,3.00242e-05,3.00242e-05,3.00242e-05
54,28.9561,0.75365,0.92092,1.30027,0.76183,0.48333,0.5509,0.30853,1.65893,1.78062,1.40494,2.99772e-05,2.99772e-05,2.99772e-05
55,29.3709,0.65059,1.24343,1.07092,0.76183,0.48333,0.5509,0.30853,1.65893,1.78062,1.40494,2.99066e-05,2.99066e-05,2.99066e-05
56,29.902,0.91307,0.98072,1.38899,0.76183,0.48333,0.5509,0.30853,1.65893,1.78062,1.40494,2.98125e-05,2.98125e-05,2.98125e-05
57,30.3439,0.71951,0.70172,1.10341,0.77803,0.49634,0.54027,0.30087,1.63723,1.81392,1.40041,2.96948e-05,2.96948e-05,2.96948e-05
58,30.752,0.86284,0.67255,1.28983,0.77803,0.49634,0.54027,0.30087,1.63723,1.81392,1.40041,2.95535e-05,2.95535e-05,2.95535e-05
59,31.1704,0.88137,0.86849,1.10418,0.77803,0.49634,0.54027,0.30087,1.63723,1.81392,1.40041,2.93887e-05,2.93887e-05,2.93887e-05
60,31.6181,0.76113,1.20008,1.18581,0.78106,0.49635,0.54572,0.30195,1.69167,1.84634,1.41489,2.92003e-05,2.92003e-05,2.92003e-05
61,32.0174,0.75788,0.82208,1.01496,0.78106,0.49635,0.54572,0.30195,1.69167,1.84634,1.41489,2.89884e-05,2.89884e-05,2.89884e-05
62,32.428,0.59654,0.66328,0.98997,0.78106,0.49635,0.54572,0.30195,1.69167,1.84634,1.41489,2.87529e-05,2.87529e-05,2.87529e-05
63,32.8699,0.90724,1.47534,1.33559,0.78122,0.49542,0.53638,0.28274,1.73238,1.91354,1.43374,2.84938e-05,2.84938e-05,2.84938e-05
64,33.2678,0.8025,0.83212,1.23676,0.78122,0.49542,0.53638,0.28274,1.73238,1.91354,1.43374,2.82112e-05,2.82112e-05,2.82112e-05
65,33.6895,0.72251,0.80461,1.16071,0.78122,0.49542,0.53638,0.28274,1.73238,1.91354,1.43374,2.7905e-05,2.7905e-05,2.7905e-05
66,34.1165,0.79977,1.39664,1.17252,0.78188,0.49495,0.53579,0.27364,1.76956,1.93686,1.47107,2.75753e-05,2.75753e-05,2.75753e-05
67,34.5334,0.83765,1.28229,1.24795,0.78188,0.49495,0.53579,0.27364,1.76956,1.93686,1.47107,2.7222e-05,2.7222e-05,2.7222e-05
68,34.9479,0.8276,0.98611,1.16181,0.78188,0.49495,0.53579,0.27364,1.76956,1.93686,1.47107,2.68451e-05,2.68451e-05,2.68451e-05
69,35.4027,0.82699,0.91656,1.19787,0.78035,0.49638,0.54102,0.26665,1.75613,2.0034,1.47816,2.64447e-05,2.64447e-05,2.64447e-05
70,35.8289,0.69462,0.6539,1.06456,0.78035,0.49638,0.54102,0.26665,1.75613,2.0034,1.47816,2.60207e-05,2.60207e-05,2.60207e-05
71,36.2706,0.74143,0.72203,1.12465,0.78035,0.49638,0.54102,0.26665,1.75613,2.0034,1.47816,2.55731e-05,2.55731e-05,2.55731e-05
72,36.7245,0.54472,0.72045,1.04978,0.81495,0.49486,0.53753,0.27233,1.772,2.01686,1.4777,2.5102e-05,2.5102e-05,2.5102e-05
73,37.1288,0.78933,0.7494,1.1898,0.81495,0.49486,0.53753,0.27233,1.772,2.01686,1.4777,2.46073e-05,2.46073e-05,2.46073e-05
74,37.5389,0.63535,0.70728,1.189,0.81495,0.49486,0.53753,0.27233,1.772,2.01686,1.4777,2.40891e-05,2.40891e-05,2.40891e-05
