epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,498.188,0.07469,0.09919,0.28063,0.11703,0.89549,0.9994,1,0.995,0.995,0.9994,1,0.995,0.97118,0.21152,0.20784,0.14807,0.27672,0.31039,0.0004952,0.0004952,0.0004952
40,512.291,0.07218,0.10187,0.26442,0.10473,0.89762,1,1,0.995,0.995,1,1,0.995,0.98393,0.17998,0.18113,0.14222,0.25764,0.28232,0.0004556,0.0004556,0.0004556
41,549.406,0.07097,0.24336,0.1152,0.22262,0.92274,0.9994,1,0.995,0.995,0.9994,1,0.995,0.96065,0.19674,0.21127,0.13387,0.32966,0.28959,0.000416,0.000416,0.000416
42,562.379,0.06278,0.22725,0.09179,0.07454,0.91877,0.99939,1,0.995,0.995,0.99939,1,0.995,0.98588,0.15287,0.18759,0.1299,0.20821,0.22792,0.0003764,0.0003764,0.0003764
43,574.296,0.0593,0.21884,0.08217,0.07123,0.91093,0.99939,1,0.995,0.995,0.99939,1,0.995,0.98834,0.21458,0.17189,0.17802,0.39082,0.2984,0.0003368,0.0003368,0.0003368
44,585.474,0.05508,0.20279,0.07846,0.06556,0.90954,0.9994,1,0.995,0.995,0.9994,1,0.995,0.9898,0.2041,0.17988,0.17573,0.26336,0.28682,0.0002972,0.0002972,0.0002972
45,596.7,0.0508,0.19223,0.07911,0.06172,0.90508,1,1,0.995,0.995,1,1,0.995,0.98091,0.21002,0.19431,0.11899,0.32428,0.3034,0.0002576,0.0002576,0.0002576
46,608.537,0.04784,0.1834,0.0755,0.05956,0.90908,1,1,0.995,0.995,1,1,0.995,0.98146,0.20638,0.19551,0.1197,0.26118,0.28733,0.000218,0.000218,0.000218
47,621.139,0.04308,0.17852,0.06087,0.0547,0.89967,1,1,0.995,0.995,1,1,0.995,0.98457,0.18727,0.19016,0.11804,0.25914,0.27169,0.0001784,0.0001784,0.0001784
48,632.921,0.03927,0.17139,0.06784,0.05134,0.90519,0.9994,1,0.995,0.995,0.9994,1,0.995,0.98463,0.20798,0.19337,0.15656,0.30348,0.29533,0.0001388,0.0001388,0.0001388
49,644.386,0.03909,0.16882,0.05402,0.04901,0.88962,1,1,0.995,0.995,1,1,0.995,0.98493,0.20072,0.17812,0.14344,0.3275,0.28529,9.92e-05,9.92e-05,9.92e-05
50,655.692,0.03478,0.16597,0.06329,0.04599,0.90043,1,1,0.995,0.995,1,1,0.995,0.9849,0.1994,0.19299,0.15331,0.26693,0.27516,5.96e-05,5.96e-05,5.96e-05
